MODEL_RUN_ID,FEATURE_NAME,POSITIVE_COUNT,TOTAL_ROWS,POSITIVE_RATE_PERCENT
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_87,13109,1250233,1.048524555
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_136,10885,1250233,0.8706377131
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Idaho,7916,1250233,0.6331619786
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Michigan,34430,1250233,2.753886676
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_parkinsons_disease_and_secondary_parkinsonism,17700,1250233,1.415736107
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_78,16574,1250233,1.325672895
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_dyslipidemias,717850,1250233,57.417297416
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_ischemic_heart_disease,228661,1250233,18.289470843
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_96,165493,1250233,13.236972628
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_chronic_obstructive_pulmonary_disease,147665,1250233,11.81099843
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_atrial_fibrillation,139438,1250233,11.152961088
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_85,130818,1250233,10.463489606
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_asthma,86178,1250233,6.892955153
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_abdominal_hernia,77569,1250233,6.204363507
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Illinois,52217,1250233,4.176581485
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_52,50441,1250233,4.034527964
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_South Carolina,26287,1250233,2.102568081
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_11,25166,1250233,2.012904795
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_acute_myocardial_infarction,23292,1250233,1.863012734
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_alcohol_use_disorder,21088,1250233,1.686725594
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_106,5626,1250233,0.4499961207
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_South Dakota,4931,1250233,0.3944064826
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_hypertension,702301,1250233,56.173609239
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_rheumatoid_arthritis_osteoarthritis,400978,1250233,32.07226173
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_gastroesophageal_reflux,270510,1250233,21.636766907
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_anxiety_disorders,210166,1250233,16.810146589
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_depression_bipolar_or_other_depressive_mood_disorders,208594,1250233,16.684410026
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_glaucoma,137743,1250233,11.017386359
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_heart_failure_and_non_ischemic_heart_disease,121706,1250233,9.734665458
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_111,111736,1250233,8.937214103
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,race_black or african american,97977,1250233,7.836699239
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_138,95344,1250233,7.626098495
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Texas,82135,1250233,6.569575431
